document1,document2,cosine,year1,year2,company1,company2
AES - 2020,AES - 2021,0.9835991066975,2020,2021,AES,AES
ADS - 2016,ALLY - 2015,0.69432966039888,2016,2015,ADS,ALLY
ADS - 2017,ALLY - 2015,0.74415217547593,2017,2015,ADS,ALLY
ADS - 2018,ALLY - 2015,0.72074205286303,2018,2015,ADS,ALLY
ADS - 2019,ALLY - 2015,0.71034743115132,2019,2015,ADS,ALLY
ADS - 2020,ALLY - 2015,0.69229861021043,2020,2015,ADS,ALLY
ADS - 2021,ALLY - 2015,0.68083751745762,2021,2015,ADS,ALLY
AES - 2015,ALLY - 2015,0.69391981169184,2015,2015,AES,ALLY
AES - 2016,ALLY - 2015,0.69151416202747,2016,2015,AES,ALLY
AES - 2017,ALLY - 2015,0.68519656111585,2017,2015,AES,ALLY
AES - 2018,ALLY - 2015,0.65792288636781,2018,2015,AES,ALLY
AES - 2019,ALLY - 2015,0.65408120529648,2019,2015,AES,ALLY
AES - 2020,ALLY - 2015,0.62624751417933,2020,2015,AES,ALLY
AES - 2021,ALLY - 2015,0.64130770532511,2021,2015,AES,ALLY
ADS - 2016,ALLY - 2016,0.70073025896279,2016,2016,ADS,ALLY
ADS - 2017,ALLY - 2016,0.81985861534497,2017,2016,ADS,ALLY
ADS - 2018,ALLY - 2016,0.80023885354259,2018,2016,ADS,ALLY
ADS - 2019,ALLY - 2016,0.78075867234959,2019,2016,ADS,ALLY
ADS - 2020,ALLY - 2016,0.75576878993303,2020,2016,ADS,ALLY
ADS - 2021,ALLY - 2016,0.74569502992907,2021,2016,ADS,ALLY
AES - 2015,ALLY - 2016,0.77260878350691,2015,2016,AES,ALLY
AES - 2016,ALLY - 2016,0.76695933464797,2016,2016,AES,ALLY
AES - 2017,ALLY - 2016,0.76744106939908,2017,2016,AES,ALLY
AES - 2018,ALLY - 2016,0.74291259650834,2018,2016,AES,ALLY
AES - 2019,ALLY - 2016,0.73145868866796,2019,2016,AES,ALLY
AES - 2020,ALLY - 2016,0.70212646336624,2020,2016,AES,ALLY
AES - 2021,ALLY - 2016,0.7188977607746,2021,2016,AES,ALLY
ALLY - 2015,ALLY - 2016,0.91712663620578,2015,2016,ALLY,ALLY
ADS - 2016,ALLY - 2017,0.64515210425635,2016,2017,ADS,ALLY
ADS - 2017,ALLY - 2017,0.95035298126272,2017,2017,ADS,ALLY
ADS - 2018,ALLY - 2017,0.95804632302564,2018,2017,ADS,ALLY
ADS - 2019,ALLY - 2017,0.93597136739932,2019,2017,ADS,ALLY
ADS - 2020,ALLY - 2017,0.90802975029222,2020,2017,ADS,ALLY
ADS - 2021,ALLY - 2017,0.8999754020282,2021,2017,ADS,ALLY
AES - 2015,ALLY - 2017,0.8663915995126,2015,2017,AES,ALLY
AES - 2016,ALLY - 2017,0.86225666453969,2016,2017,AES,ALLY
AES - 2017,ALLY - 2017,0.90242240876072,2017,2017,AES,ALLY
AES - 2018,ALLY - 2017,0.90879071351322,2018,2017,AES,ALLY
AES - 2019,ALLY - 2017,0.88305854107527,2019,2017,AES,ALLY
AES - 2020,ALLY - 2017,0.85954293247112,2020,2017,AES,ALLY
AES - 2021,ALLY - 2017,0.87964977557012,2021,2017,AES,ALLY
ALLY - 2015,ALLY - 2017,0.7846669662236,2015,2017,ALLY,ALLY
ALLY - 2016,ALLY - 2017,0.85901847463226,2016,2017,ALLY,ALLY
ADS - 2016,ALLY - 2018,0.66581243009323,2016,2018,ADS,ALLY
ADS - 2017,ALLY - 2018,0.921630538065,2017,2018,ADS,ALLY
ADS - 2018,ALLY - 2018,0.95252684490571,2018,2018,ADS,ALLY
ADS - 2019,ALLY - 2018,0.9441482311768,2019,2018,ADS,ALLY
ADS - 2020,ALLY - 2018,0.92652198827212,2020,2018,ADS,ALLY
ADS - 2021,ALLY - 2018,0.91522118705039,2021,2018,ADS,ALLY
AES - 2015,ALLY - 2018,0.83931050605819,2015,2018,AES,ALLY
AES - 2016,ALLY - 2018,0.83914032883394,2016,2018,AES,ALLY
AES - 2017,ALLY - 2018,0.89932846939327,2017,2018,AES,ALLY
AES - 2018,ALLY - 2018,0.92593175595091,2018,2018,AES,ALLY
AES - 2019,ALLY - 2018,0.90937598058368,2019,2018,AES,ALLY
AES - 2020,ALLY - 2018,0.89471586046314,2020,2018,AES,ALLY
AES - 2021,ALLY - 2018,0.9043012895091,2021,2018,AES,ALLY
ALLY - 2015,ALLY - 2018,0.77291750189762,2015,2018,ALLY,ALLY
ALLY - 2016,ALLY - 2018,0.83737302156081,2016,2018,ALLY,ALLY
ALLY - 2017,ALLY - 2018,0.97558875338429,2017,2018,ALLY,ALLY
ADS - 2016,ALLY - 2019,0.65804564087752,2016,2019,ADS,ALLY
ADS - 2017,ALLY - 2019,0.90989962795933,2017,2019,ADS,ALLY
ADS - 2018,ALLY - 2019,0.93607942786506,2018,2019,ADS,ALLY
ADS - 2019,ALLY - 2019,0.93507352801743,2019,2019,ADS,ALLY
ADS - 2020,ALLY - 2019,0.92215376333846,2020,2019,ADS,ALLY
ADS - 2021,ALLY - 2019,0.91292956562394,2021,2019,ADS,ALLY
